State Code,State Name,Year,Month,Intra_State_No_Of_Suppliers,Intra_State_No_Of_Eway_Bills,Intra_State_Asset_Value_Rs._In_Cr,Inter_State_Outward_No_Of_Suppliers,Inter_State_Outward_No_Of_Eway_Bills,Inter_State_Outward_Asset_Value_Rs_ In_Cr,Inter_State_Inward_No_Of_Suppliers,Inter_State_Inward_No_Of_Eway_Bills,Inter_State_Inward_Asset_Value_Rs._In_Cr
26, DADRA AND NAGAR HAVELI,2018,9,1086,51293,20514094315,1878,242106,98800896081,2691,106242,82431978655
27, MAHARASHTRA,2018,9,102775,4291883,1098938568884,93997,2935930,1020000000000,170828,2269364,991000000000
29, KARNATAKA,2018,9,71441,2627306,526135739176,40021,1246590,455000000000,88359,1391957,509000000000
30, GOA,2018,9,1214,58954,10138728703,1344,55762,39881617475,6426,91089,33569766141
31, LAKSHADWEEP,2018,9,0,0,0,3,5,858496,31,293,45797738
32, KERALA,2018,9,27396,924741,152420073103,12449,166069,66408092078,44749,564019,158000000000
33, TAMIL NADU,2018,9,58559,2922511,642092180137,59002,1657661,672000000000,97702,1644575,637000000000
34, PUDUCHERRY,2018,9,744,28051,9372508467,1626,103646,32467972547,4413,90411,29016846360
35, ANDAMAN AND NICOBAR,2018,9,14,182,56685513,69,256,252610701,884,7977,2260254697
36, TELANGANA,2018,9,22115,907205,209524861634,22999,463613,212000000000,51225,795743,290000000000
37, ANDHRA PRADESH,2018,9,26943,1093687,199555289093,17823,384081,258000000000,61042,678325,277000000000
1, JAMMU AND KASHMIR,2018,10,3784,135435,25456333854,2273,32807,21608366465,17722,202717,51389890321
2, HIMACHAL PRADESH,2018,10,6322,234475,41874756555,4647,275144,108000000000,21652,310533,89254406166
3, PUNJAB,2018,10,48570,1247306,313229488817,47791,1041415,255000000000,63673,836223,259000000000
4, CHANDIGARH,2018,10,2248,30590,4879142667,5028,84351,15185238381,8295,120710,25319127056
5, UTTARAKHAND,2018,10,10038,603614,94432024562,7140,346332,168000000000,23976,508966,143000000000
6, HARYANA,2018,10,58638,2496453,481808981490,51742,2114693,606000000000,87625,1613716,596000000000
7, DELHI,2018,10,54593,876770,314521183282,119128,1780906,426000000000,112750,1556836,492000000000
8, RAJASTHAN,2018,10,62340,1475106,329883867842,45378,1300871,306000000000,92864,1166726,373000000000
9, UTTAR PRADESH,2018,10,100843,3082759,642457450093,67575,1296660,519000000000,165414,2310304,729000000000
10, BIHAR,2018,10,4784,236349,57369603781,5486,49091,22054989612,52062,646884,139000000000
11, SIKKIM,2018,10,116,2927,487532077,168,6389,17849368221,1560,25965,7202090355
12, ARUNACHAL PRADESH,2018,10,100,2348,294180405,178,1516,851075792,2243,20577,3782150377
13, NAGALAND,2018,10,68,719,201843473,224,3051,896036164,2228,20861,4562931803
14, MANIPUR,2018,10,41,4193,567295148,79,462,94408918,2217,26287,5940064273
15, MIZORAM,2018,10,16,877,108252570,72,514,1093841110,1460,14414,3301853190
16, TRIPURA,2018,10,482,11779,2082201148,257,1682,1597460860,3192,25760,6987858445
17, MEGHALAYA,2018,10,243,8661,1519212860,328,25392,4492237110,2889,32117,7376168022
18, ASSAM,2018,10,9596,325698,68290763213,7766,132582,54062818111,21980,239657,79748775831
19, WEST BENGAL,2018,10,32121,1049873,323987246180,35169,602852,263000000000,53283,771586,340000000000
20, JHARKHAND,2018,10,7983,402676,96203981590,6262,201543,121000000000,22904,337403,117000000000
21, ODISHA,2018,10,10549,613387,128280309314,4749,181498,213000000000,26767,334840,142000000000
22, CHHATTISGARH,2018,10,5363,194672,60416335977,7279,166211,117000000000,22731,348668,122000000000
23, MADHYA PRADESH,2018,10,15448,335071,87418527746,18125,403943,202000000000,67805,902346,269000000000
24, GUJARAT,2018,10,100323,2801656,769548337265,118902,4065864,922000000000,116242,1403262,661000000000
25, DAMAN AND DIU,2018,10,1039,31355,9683240790,1644,185855,48755406463,2340,77350,51531760102
26, DADRA AND NAGAR HAVELI,2018,10,1172,50436,18135574418,1959,236923,95216345712,2982,111545,79576357755
27, MAHARASHTRA,2018,10,115700,4832867,1238451325717,99857,3163960,1100000000000,187571,2512953,1070000000000
29, KARNATAKA,2018,10,76843,2830000,546728040467,42291,1298012,454000000000,93175,1488143,543000000000
30, GOA,2018,10,1367,69867,12278333462,1498,61878,43364392422,7122,108891,38541106204
31, LAKSHADWEEP,2018,10,0,0,0,2,3,605700,36,749,67622601
32, KERALA,2018,10,28918,937982,147944949772,12905,166693,65766916305,46123,603512,152000000000
33, TAMIL NADU,2018,10,62936,3043451,651474857877,61226,1683977,645000000000,102051,1673138,637000000000
34, PUDUCHERRY,2018,10,806,26969,8730004961,1954,105686,29466106936,4657,92415,26217425451
35, ANDAMAN AND NICOBAR,2018,10,13,219,71598839,58,232,209311418,916,8239,1849357332
36, TELANGANA,2018,10,24230,1008434,222327830758,24404,498394,224000000000,52316,748871,290000000000
37, ANDHRA PRADESH,2018,10,28650,1149306,204497578957,18505,379176,265000000000,63461,730942,289000000000
1, JAMMU AND KASHMIR,2018,11,3851,123745,21787493536,2080,26704,17515149752,16757,165151,44354496345
2, HIMACHAL PRADESH,2018,11,6380,208575,36862032474,4566,237404,93317792029,19521,255946,76569529833
3, PUNJAB,2018,11,49831,1145572,278933311308,46216,895271,221000000000,59024,680762,229000000000
4, CHANDIGARH,2018,11,2093,25285,3943921286,4713,69001,12492890220,7884,99801,21398949360
5, UTTARAKHAND,2018,11,9495,463286,74310156166,6720,283870,143000000000,21263,395452,115000000000
6, HARYANA,2018,11,56148,2106290,418374670595,49692,1770747,524000000000,82085,1314488,506000000000
7, DELHI,2018,11,50809,726219,282700827674,111868,1424683,356000000000,103002,1162613,400000000000
8, RAJASTHAN,2018,11,58391,1216069,275311287820,42068,988580,262000000000,81346,863497,300000000000
9, UTTAR PRADESH,2018,11,95487,2607200,543949529498,62729,1043826,438000000000,150473,1714688,592000000000
10, BIHAR,2018,11,4489,209376,51678041542,5270,45535,21461481304,47102,417784,124000000000
11, SIKKIM,2018,11,102,3026,466112607,163,7178,17727942054,1453,23780,7014027870
12, ARUNACHAL PRADESH,2018,11,94,2417,398008200,183,1670,813503695,2193,21696,4528431562
13, NAGALAND,2018,11,62,656,174438834,227,4424,968518221,2340,21184,4286039334
14, MANIPUR,2018,11,42,2611,522824209,83,601,98345542,2196,23116,5065203222
15, MIZORAM,2018,11,13,821,97130582,81,617,1291775851,1501,15166,3370534260
16, TRIPURA,2018,11,551,13704,2301126546,264,1766,1567145600,3572,29817,7142751265
17, MEGHALAYA,2018,11,261,8845,1790267057,330,29058,4775751232,3012,31371,7180928213
18, ASSAM,2018,11,9748,332413,62828744707,7984,136255,52999341849,22743,245263,80148024659
19, WEST BENGAL,2018,11,33324,1108343,342678755182,34490,568287,257000000000,53547,735922,332000000000
