State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
13,NAGALAND,2022,1,121,"1,681","5,833.50",305,"5,401","13,699.69","2,488","30,072","61,587.93"
14,MANIPUR,2022,1,86,"4,089","9,318.44",126,672,"3,420.50","2,788","40,255","88,223.04"
15,MIZORAM,2022,1,57,"1,631","3,463.74",73,351,"1,553.82","1,992","29,875","58,890.86"
16,TRIPURA,2022,1,"1,498","36,483","73,405.79",451,"2,768","29,639.80","4,511","40,098","102,271.63"
17,MEGHALAYA,2022,1,398,"17,428","37,286.35",469,"45,452","90,826.99","3,711","51,966","116,172.79"
18,ASSAM,2022,1,"12,362","468,130","909,032.04","10,032","205,988","659,660.43","25,305","347,772","1,155,323.65"
19,WEST BENGAL,2022,1,"44,343","1,832,988","4,989,650.06","40,247","833,678","3,771,503.41","64,000","1,144,879","4,611,981.65"
20,JHARKHAND,2022,1,"9,713","518,738","1,328,613.53","8,002","224,119","1,653,179.14","26,074","403,034","1,557,624.64"
21,ODISHA,2022,1,"15,739","942,717","2,209,694.42","6,539","277,558","3,092,798.11","33,189","433,578","1,896,954.99"
22,CHHATTISGARH,2022,1,"5,887","266,360","928,599.38","8,399","172,242","1,814,365.12","24,860","402,431","1,534,839.14"
23,MADHYA PRADESH,2022,1,"24,363","779,651","1,788,751.75","21,491","439,667","2,549,894.66","72,003","927,196","3,186,546.40"
24,GUJARAT,2022,1,"152,780","4,257,838","13,528,061.40","134,884","4,036,401","12,806,248.93","136,733","1,809,309","9,683,110.30"
25,DAMAN AND DIU,2022,1, -   , -   , -   ,3,5,4.05,21,152,449.93
26,DADRA AND NAGAR HAVELI,2022,1,"2,882","124,707","521,504.19","3,803","438,798","1,881,740.49","5,387","192,140","1,631,582.31"
