State Code,State Name,Year,Month,Intra_State_Supplies_No_Of_Suppliers,Intra_State_Supplies_No_Of_Eway_Bills,Intra_State_Supplies_Asset_Value_Rs_In_Cr,Inter_State_Outward_SuppliesNo_Of_Suppliers,Inter_State_Outward_SuppliesNo_Of_Eway_Bills,Inter_State_Outward_Supplies_Asset_Value_Rs_ In_Cr,Inter_State_Inward_SuppliesNo_Of_Suppliers,Inter_State_Inward_Supplies_No_Of_Eway_Bills,Inter_State_Inward_SuppliesAsset_Value_Rs_In_Cr
3,PUNJAB,2020,12,"63,323","1,640,332","38,332.49","49,011","990,017","26,338.45","65,315","859,229","28,316.31"
4,CHANDIGARH,2020,12,"2,115","23,701",373.64,"4,769","76,132","1,429.90","7,676","110,405","2,420.45"
5,UTTARAKHAND,2020,12,"11,466","556,252","9,276.49","8,220","364,478","17,672.15","23,582","478,641","14,423.57"
6,HARYANA,2020,12,"64,881","2,675,943","49,895.59","58,147","2,848,288","66,164.15","92,198","1,789,221","62,261.86"
7,DELHI,2020,12,"60,878","885,959","31,977.79","115,897","1,564,172","39,967.38","111,852","1,470,393","46,938.25"
8,RAJASTHAN,2020,12,"70,811","1,632,382","35,316.88","48,644","1,399,411","34,703.74","91,275","1,184,439","41,238.28"
9,UTTAR PRADESH,2020,12,"111,593","3,237,108","67,579.50","75,793","1,433,885","53,886.56","171,388","2,207,593","71,321.74"
10,BIHAR,2020,12,"6,870","446,614","8,888.53","6,872","76,845","2,832.64","52,213","606,403","15,408.10"
11,SIKKIM,2020,12,126,"3,915",54.42,176,"6,680","2,827.37","1,584","30,919",894.75
12,ARUNACHAL PRADESH,2020,12,124,"2,945",57.15,197,"1,605",89.94,"2,572","29,757",669.8
13,NAGALAND,2020,12,106,"1,669",53.36,224,"1,971",81.92,"2,375","32,998",590.12
14,MANIPUR,2020,12,54,"4,818",69.44,89,417,20.03,"2,444","51,729",724.65
15,MIZORAM,2020,12,142,"2,223",55.13,100,"1,305",288.03,"1,664","32,490",465.48
16,TRIPURA,2020,12,"1,115","28,842",554.27,376,"2,511",339.99,"4,036","40,431",865.3
17,MEGHALAYA,2020,12,303,"10,994",193.61,413,"28,483",612.32,"3,158","44,747",872.26
18,ASSAM,2020,12,"11,002","427,306","7,850.06","9,081","218,963","6,683.22","23,246","311,818","10,451.55"
19,WEST BENGAL,2020,12,"39,169","1,620,100","41,999.53","37,690","734,194","31,694.97","60,376","1,253,408","39,396.33"
20,JHARKHAND,2020,12,"8,875","467,558","10,666.88","7,770","227,625","13,851.97","24,520","391,434","12,496.65"
21,ODISHA,2020,12,"13,318","807,867","16,468.49","5,750","259,638","22,425.05","30,944","415,517","15,023.74"
22,CHHATTISGARH,2020,12,"5,235","226,973","6,859.09","7,717","172,242","13,707.16","22,748","424,078","13,891.44"
23,MADHYA PRADESH,2020,12,"16,602","489,886","10,612.79","19,920","443,516","21,341.28","66,836","876,992","26,546.32"
24,GUJARAT,2020,12,"132,978","3,855,526","104,512.76","126,002","4,048,798","105,479.76","127,138","1,727,524","78,249.29"
25,DAMAN AND DIU,2020,12,0,0,0,2,24,0.26,19,143,3.64
26,DADRA AND NAGAR HAVELI,2020,12,"2,641","118,515","3,865.42","3,576","443,168","14,881.30","4,930","187,712","12,210.94"
27,MAHARASHTRA,2020,12,"122,946","5,533,546","134,609.93","103,887","3,858,729","122,603.55","185,819","2,790,373","112,786.10"
29,KARNATAKA,2020,12,"89,924","3,718,345","63,043.79","47,048","1,823,862","54,927.08","103,192","1,768,611","56,642.78"
30,GOA,2020,12,"1,510","77,165","1,280.79","1,561","60,902","4,442.54","6,726","108,773","3,805.40"
31,LAKSHADWEEP,2020,12,0,0,0,3,3,0.02,45,371,10.41
32,KERALA,2020,12,"37,196","1,384,303","21,141.63","13,967","162,284","8,101.38","50,754","639,138","17,048.78"
33,TAMIL NADU,2020,12,"77,360","4,010,713","78,375.88","66,099","2,021,865","73,356.83","106,795","1,927,534","73,355.80"
34,PUDUCHERRY,2020,12,885,"31,726",787.49,"1,769","105,988","3,104.80","5,004","100,923","2,631.47"
35,ANDAMAN AND NICOBAR,2020,12,14,377,9.54,42,143,15.27,884,"9,914",220.96
36,TELANGANA,2020,12,"37,614","1,854,590","34,629.27","31,187","717,017","29,056.04","58,453","1,213,372","36,373.89"
37,ANDHRA PRADESH,2020,12,"33,819","1,596,380","26,567.33","20,906","443,449","31,178.43","70,916","1,133,415","33,896.65"
38,LADAKH,2020,12,19,206,7.32,15,36,3.41,249,"1,317",50.96
97,Other Territory,2020,12,7,181,262.69,25,"3,709","1,153.56",179,"10,988","1,934.01"
1,JAMMU AND KASHMIR,2020,11,"4,422","155,516","248,739.34","2,504","31,675","195,361.73","18,267","204,561","488,940.08"
2,HIMACHAL PRADESH,2020,11,"7,317","242,042","455,362.43","4,732","234,876","954,723.61","21,510","288,145","815,157.63"
3,PUNJAB,2020,11,"62,030","1,561,482","3,379,023.42","48,830","1,039,072","2,379,693.01","64,482","859,118","2,409,092.25"
4,CHANDIGARH,2020,11,"2,052","22,864","32,814.28","4,716","71,435","123,840.01","7,679","107,161","214,916.44"
5,UTTARAKHAND,2020,11,"11,034","548,230","861,572.61","7,816","321,752","1,560,078.30","24,404","460,788","1,221,250.98"
6,HARYANA,2020,11,"63,590","2,532,590","4,530,735.93","56,518","2,555,121","5,860,899.71","91,086","1,720,154","5,647,346.54"
7,DELHI,2020,11,"57,017","780,348","2,942,426.83","114,261","1,467,926","3,533,250.56","108,032","1,424,121","4,099,271.66"
8,RAJASTHAN,2020,11,"68,006","1,516,218","3,262,349.37","46,026","1,242,351","3,026,735.95","90,200","1,146,224","3,416,347.72"
9,UTTAR PRADESH,2020,11,"108,650","3,143,553","6,121,398.51","73,036","1,287,570","4,896,348.75","171,678","2,256,000","6,553,760.85"
10,BIHAR,2020,11,"6,572","398,976","811,893.40","5,820","58,956","223,464.28","52,675","582,778","1,433,471.80"
11,SIKKIM,2020,11,109,"3,292","4,564.04",173,"5,440","236,399.45","1,572","26,532","77,708.91"
